City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Philippe,-21.3585,55.7679,75.2,69,0,6.91,RE,2021-03-16 22:43:13
1,Rikitea,-23.1203,-134.9692,80.49,74,68,8.61,PF,2021-03-16 22:46:17
2,Thompson,55.7435,-97.8558,33.8,27,20,10.36,CA,2021-03-16 22:46:55
3,Ushuaia,-54.8,-68.3,46.4,66,40,27.63,AR,2021-03-16 22:41:31
4,Chimbote,-9.0853,-78.5783,75.15,73,98,8.81,PE,2021-03-16 22:48:23
5,Butaritari,3.0707,172.7902,81.05,77,63,13.24,KI,2021-03-16 22:46:17
6,Norman Wells,65.282,-126.8329,-4.0,71,75,2.3,CA,2021-03-16 22:43:10
7,Jamestown,42.097,-79.2353,41.0,60,40,4.76,US,2021-03-16 22:45:13
8,Paamiut,61.994,-49.6678,18.59,86,100,17.58,GL,2021-03-16 22:47:50
9,Koundara,12.4833,-13.3,80.98,16,0,1.54,GN,2021-03-16 22:48:24
10,Qui Nhon,13.7667,109.2333,68.95,90,1,5.06,VN,2021-03-16 22:48:24
11,Dalbandin,28.8947,64.4101,64.04,23,75,4.12,PK,2021-03-16 22:48:24
12,Kamaishi,39.2667,141.8833,38.71,67,75,16.67,JP,2021-03-16 22:48:24
13,Sakakah,29.9697,40.2064,69.8,24,0,4.61,SA,2021-03-16 22:42:28
14,Tautira,-17.7333,-149.15,89.6,58,40,5.75,PF,2021-03-16 22:48:25
15,Souillac,-20.5167,57.5167,78.8,78,75,8.05,MU,2021-03-16 22:44:29
16,Arraial Do Cabo,-22.9661,-42.0278,77.56,83,0,20.11,BR,2021-03-16 22:43:16
17,Vaini,-21.2,-175.2,78.8,78,20,11.5,TO,2021-03-16 22:42:51
18,Morrope,-6.5417,-80.0111,80.6,61,0,20.71,PE,2021-03-16 22:48:25
19,Klaksvik,62.2266,-6.589,44.6,93,75,21.85,FO,2021-03-16 22:44:12
20,Kapaa,22.0752,-159.319,73.4,88,90,24.16,US,2021-03-16 22:46:17
21,Hobart,-42.8794,147.3294,57.0,76,20,9.22,AU,2021-03-16 22:46:15
22,Raha,26.2333,92.5167,66.58,41,0,4.65,IN,2021-03-16 22:48:25
23,Prince Rupert,54.3161,-130.3201,41.0,87,90,12.66,CA,2021-03-16 22:45:04
24,Albany,42.6001,-73.9662,32.0,28,99,3.91,US,2021-03-16 22:42:19
25,Nome,64.5011,-165.4064,12.99,92,90,4.23,US,2021-03-16 22:47:04
26,Lebu,-37.6167,-73.65,56.68,87,85,12.64,CL,2021-03-16 22:46:27
27,Mataura,-46.1927,168.8643,57.99,72,100,15.99,NZ,2021-03-16 22:42:53
28,Moose Factory,51.2585,-80.6094,41.0,52,90,6.91,CA,2021-03-16 22:48:26
29,Barrow,71.2906,-156.7887,1.4,71,90,20.71,US,2021-03-16 22:43:39
30,Hare Bay,48.8499,-54.0148,21.2,86,100,10.36,CA,2021-03-16 22:48:26
31,Mount Gambier,-37.8333,140.7667,53.6,100,0,3.83,AU,2021-03-16 22:46:44
32,Punta Arenas,-53.15,-70.9167,48.2,66,75,23.02,CL,2021-03-16 22:46:17
